conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1012799265087860736,Fri Jun 29 20:45:36 +0000 2018,5,Psychic Readings Healings and Cleansings available in my shop . Aura cleansing for £9.99 . All can be booked through the shop button on my website https://t.co/gNerwikm32 #psychic #aura #healings #phonereadings #emailreadings #chakra #chakracleansing #readings https://t.co/M1KpfoifEz,1012799265087860736,https://pbs.twimg.com/media/Dg4uMWRXcAAEsrK.jpg,,en,"Essex, England",0,0,2,https://x.com/TeresaSwann6/status/1012799265087860736,995658876585431041,TeresaSwann6
1012824185050226689,Fri Jun 29 22:24:37 +0000 2018,2,HELP. I'm having the worst vertigo attack y'all. My vision is swirling and shifting sideways with accompanying spiking migraine pain. I don't get aura or pre-migraine attack symptoms but is that what's happening? #migraine #spoonies #migraines #chroniclife #chronicillness https://t.co/YGbedA7Rzw,1012824185050226689,https://pbs.twimg.com/tweet_video_thumb/Dg5GOTjVMAAUOgu.jpg,,en,"Dallas, TX",0,2,0,https://x.com/ashpitlik21/status/1012824185050226689,2299917888,ashpitlik21
1012816746154164224,Fri Jun 29 21:55:04 +0000 2018,3,The Aura Of Molokini by Victor K https://t.co/d9OfW6VALl #Sunset #Pacific_Ocean #nature #Hawaii #Tropical #Tropic #reflections #landscape #beach #scenery #romantic #romance #sunset #clouds #Maui #Molokini #Beach #waves https://t.co/mpoawz6pbE,1012816746154164224,https://pbs.twimg.com/media/Dg4_dmOX4AAFnTb.jpg,,en,Canada,0,0,0,https://x.com/Victork1001/status/1012816746154164224,722156343851790336,Victork1001
1012833352074907648,Fri Jun 29 23:01:03 +0000 2018,1,We sell Aura Crystals at bulk prices while also offering small businesses low volumes. Buy yours today. https://t.co/6CagxFqNT6 https://t.co/enMg0dwFtm,1012833352074907648,https://pbs.twimg.com/media/Dg5OkNWUcAApffk.jpg,,en,"Kithener, ON, Canada",0,0,0,https://x.com/stonebridgeimp/status/1012833352074907648,30870317,stonebridgeimp
1012806185316175872,Fri Jun 29 21:13:06 +0000 2018,0,#Houston knows how to party! #aurahouston was insane! Did you make the cut? Check out our photo galleries to see! https://t.co/OL24CHA8Gd #alltheparties #letsstarttheparty #aura #aurahtx https://t.co/ASqC0HzkJu,1012806185316175872,https://pbs.twimg.com/media/Dg4124lXkAEdz-v.jpg,,en,Everywhere,0,0,0,https://x.com/AllTheParties_/status/1012806185316175872,74708324,AllTheParties_
1012779253270708224,Fri Jun 29 19:26:05 +0000 2018,0,The #DarlinCreek Preserve is now open! If you are in the #Olympia area ramble through this new network of #trails spy some #beaver ponds and breathe in the aura of this long-treasured #forest protected by Capitol Land Trust. https://t.co/bj24HHaRqQ https://t.co/WttUY1PSEj,1012779253270708224,https://pbs.twimg.com/media/Dg4dXO5XkAEZwwy.jpg,,en,,0,0,0,https://x.com/WALandTrusts/status/1012779253270708224,3262629313,WALandTrusts
1012758474445545472,Fri Jun 29 18:03:31 +0000 2018,10,There is a blind musician who plays on the L platform and he has the most beautiful positive aura about him. It brings me to tears every time I see and hear him. I have to think of a way to tell him how much joy he brings️,1012758474445545472,,,en,"Chicago, IL",0,0,1,https://x.com/robinhreed/status/1012758474445545472,546519256,robinhreed
1012811247488765953,Fri Jun 29 21:33:13 +0000 2018,1,I know she feeling my aura,1012811247488765953,,,en,"Ohio, USA",0,0,0,https://x.com/1jandt/status/1012811247488765953,2329555572,1jandt
1012794931923030018,Fri Jun 29 20:28:23 +0000 2018,4,Protect your aura,1012794931923030018,,,en,"Detroit, Mi ''West Side''",0,0,1,https://x.com/RedwingWhiteboi/status/1012794931923030018,24354535,RedwingWhiteboi
1012838641574600704,Fri Jun 29 23:22:04 +0000 2018,0,I liked a @YouTube video https://t.co/k3PJBDqD0L $28 Custom Colored Human Hair Bundles | AURA TRESS COLLECTIONS BY NOUVEAU X THE,1012838641574600704,,,en,"Durham,NC",0,0,0,https://x.com/Tishasweetcandy/status/1012838641574600704,26693352,Tishasweetcandy
