conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1542232656242511874,Wed Jun 29 19:44:53 +0000 2022,214,new potions song out tomorrow!! Presave New Aura here: https://t.co/XJQSsz5Oze https://t.co/LkgpkZHvmY,1542232656242511874.1,https://pbs.twimg.com/ext_tw_video_thumb/1542232036978688005/pu/img/ysjBytJA732BxAkZ.jpg,Unnamed: 6,en,Unnamed: 8,3,12,37,https://x.com/potionsmusic/status/1542232656242511874,2909373841,potionsmusic
1.8405079713583068e+18,Sun Sep 29 21:44:30 +0000 2024,14.0,She is so fab The weird little dog adds to her aura https://t.co/uQFAf7NlLx,1.8405079713583068e+18,https://pbs.twimg.com/media/GYrMPr-XsAAiosf.jpg,,en,"24, they/he, 🌈 🏳️‍⚧️ ",0.0,0.0,1.0,https://x.com/crissbway/status/1840507971358306785,1.238955029173764e+18,crissbway,,,,,,,,,,,,,,,
1.8405191901193505e+18,Sun Sep 29 22:29:04 +0000 2024,19.0,shes so fab... the weird little dog adds to her aura https://t.co/jeig0H1unB,1.8405191901193505e+18,https://pbs.twimg.com/media/GYrWcySWUAACkJc.jpg,,en,,0.0,0.0,7.0,https://x.com/NotFreshPickle/status/1840519190119350525,1.3519590575491932e+18,NotFreshPickle,,,,,,,,,,,,,,,
1.8405106718905592e+18,Sun Sep 29 21:55:13 +0000 2024,5.0,ooc: they rlly canceled chucky bc they couldn't handle the aura of an old man. https://t.co/GU2O1XfHZz,1.8405106718905592e+18,,,en,.· ✘·.  don't  make  a  sound。,0.0,1.0,0.0,https://x.com/N0TSOGOODGUY/status/1840510671890559231,1.2889059339390403e+18,N0TSOGOODGUY,,,,,,,,,,,,,,,
1.840539158550659e+18,Sun Sep 29 23:48:25 +0000 2024,8.0,waiting for @coingecko to approve the one and only MEATY AURA on METEORA $MEATY https://t.co/BmKPPFjUkE,1.840539158550659e+18,https://pbs.twimg.com/media/GYroij7bIAAc8uL.png,,en,,0.0,6.0,6.0,https://x.com/MeatyAuraSOL/status/1840539158550659137,1.7377214389610578e+18,MeatyAuraSOL,,,,,,,,,,,,,,,
1.8405383858337628e+18,Sun Sep 29 23:45:21 +0000 2024,5.0,My aura too powerful. Get wrecked dweebs,1.8405383858337628e+18,,,en,"Washington, DC",0.0,0.0,0.0,https://x.com/BallAndPolicy/status/1840538385833762928,1.4328063819046625e+18,BallAndPolicy,,,,,,,,,,,,,,,
1.8405314613314194e+18,Sun Sep 29 23:17:50 +0000 2024,68.0,She is so fab... The weird little dog adds to her aura https://t.co/20j1ZOWSS5,1.8405314613314194e+18,https://pbs.twimg.com/media/GYrhm-KXoAANNhM.jpg,,en,The Antimacassar Universe,4.0,3.0,9.0,https://x.com/Prof_Quiteamess/status/1840531461331419517,7.1273788018833e+17,Prof_Quiteamess,,,,,,,,,,,,,,,
1.8405406643056888e+18,Sun Sep 29 23:54:24 +0000 2024,1.0,Does Sabrina Ionescu's aura feel familiar? Catch the thrill of #WNBA playoff action with BlastTV https://t.co/GwebHkqURR https://t.co/yDW0snQRYD,1.8405406643056888e+18,https://pbs.twimg.com/media/GYrp-p-bgAAN5Oc.jpg,,en,,0.0,0.0,0.0,https://x.com/NBA_Philippines/status/1840540664305688716,301318718.0,NBA_Philippines,,,,,,,,,,,,,,,
1.8405315795394235e+18,Sun Sep 29 23:18:18 +0000 2024,19.0,Aura for aura (they really the same),1.8405315795394235e+18,,,en,,0.0,0.0,2.0,https://x.com/jen_rossyion/status/1840531579539423496,1.0317575184423117e+18,jen_rossyion,,,,,,,,,,,,,,,
1.84053329266097e+18,Sun Sep 29 23:25:07 +0000 2024,9.0,Shama getting dogged on because he doesn t think the anthropomorphic hedgehog wielding a gun is the #coolest shit ever and full of #aura is so sad man.,1.84053329266097e+18,,,en,The Shatterverse,0.0,1.0,1.0,https://x.com/pink5k/status/1840533292660969929,1.649600131740713e+18,pink5k,,,,,,,,,,,,,,,
1.8405409906265748e+18,Sun Sep 29 23:55:42 +0000 2024,0.0,Samoa Joe with a championship is +10000 aura,1.8405409906265748e+18,,,en,,0.0,0.0,0.0,https://x.com/infamousvishnu/status/1840540990626574774,1.4287203701824061e+18,infamousvishnu,,,,,,,,,,,,,,,
1.840541293333586e+18,Sun Sep 29 23:56:54 +0000 2024,81.0,Does my butt look too big in this~? #ffxivnsfw #AuRa https://t.co/9foYhg2a3C,1.840541293333586e+18,https://pbs.twimg.com/media/GYrqcaqXcAADIiu.jpg,,en,In My Mind,0.0,6.0,8.0,https://x.com/The_Noxxi_uwu/status/1840541293333585954,1.2609246999047864e+18,The_Noxxi_uwu,,,,,,,,,,,,,,,
1.8405403807831e+18,Sun Sep 29 23:53:17 +0000 2024,0.0,Dare I say aura ,1.8405403807831e+18,,,en,"Atlanta, GA",0.0,0.0,0.0,https://x.com/fb_tyb/status/1840540380783099918,3087616863.0,fb_tyb,,,,,,,,,,,,,,,
1.840541302892446e+18,Sun Sep 29 23:56:56 +0000 2024,98.0,Are $aura and $sigma communities active ?,1.840541302892446e+18,,,en,( -_•)▄︻デ══━一💥,0.0,50.0,11.0,https://x.com/awpnoscope420/status/1840541302892445896,1.7781501127005635e+18,awpnoscope420,,,,,,,,,,,,,,,
1.8405383741819333e+18,Sun Sep 29 23:45:18 +0000 2024,22.0,so real i always think about how jimin isnt the type that put himself in the leader position of anything but he have that dominant aura that make him leading without trying,1.8405383741819333e+18,,,en,slow,0.0,0.0,0.0,https://x.com/tarweei/status/1840538374181933247,1.272253029249581e+18,tarweei,,,,,,,,,,,,,,,
